iter	Passed	Remaining
303	4829	11057
304	4841	11031
305	4852	11004
306	4864	10980
307	4875	10953
308	4888	10932
309	4900	10907
310	4912	10882
311	4925	10860
312	4936	10835
313	4948	10810
314	4960	10786
315	4971	10761
316	4983	10737
317	4994	10711
318	5005	10686
319	5017	10661
320	5030	10640
321	5042	10616
322	5053	10592
323	5065	10569
324	5076	10544
325	5088	10521
326	5100	10497
327	5112	10474
328	5124	10451
329	5135	10427
330	5147	10404
331	5158	10378
332	5170	10356
333	5181	10332
334	5193	10310
335	5205	10287
336	5217	10264
337	5229	10241
338	5241	10219
339	5253	10197
340	5265	10175
341	5277	10153
342	5289	10132
343	5301	10109
344	5314	10088
345	5326	10068
346	5337	10044
347	5349	10021
348	5361	10001
349	5373	9979
350	5385	9958
351	5397	9936
352	5408	9913
353	5421	9892
354	5433	9871
355	5446	9853
356	5458	9831
357	5470	9810
358	5482	9788
359	5494	9768
360	5507	9748
361	5518	9725
362	5530	9704
363	5542	9684
364	5554	9663
365	5566	9642
366	5577	9620
367	5590	9600
368	5602	9580
369	5614	9559
370	5625	9538
371	5637	9517
372	5649	9496
373	5660	9474
374	5671	9452
375	5682	9431
376	5694	9410
377	5706	9390
378	5717	9368
379	5729	9348
380	5741	9328
381	5753	9308
382	5766	9289
383	5778	9269
384	5791	9250
385	5802	9230
386	5814	9209
387	5825	9188
388	5837	9168
389	5849	9149
390	5861	9130
391	5873	9109
392	5884	9088
393	5898	9072
394	5910	9052
395	5921	9031
396	5933	9011
397	5945	8992
398	5958	8974
399	5971	8956
400	5982	8937
401	5994	8917
402	6005	8896
403	6017	8877
404	6029	8858
